,fdi,gdp,gcf,trade,inflation
2013-12-31,9.72799333,13.394,12.9054115659175,56.5723211703478,10.55046
2014-03-31,10.01843498,13.399,12.9045690567213,57.562370133668,6.88623
2014-06-30,9.98924869,13.409,12.9096509654494,56.1515530904298,6.86131
2014-09-30,10.00225603,13.417,12.9171941674607,56.3096204384014,6.76056
2014-12-31,9.93272899,13.424,12.9090841206757,55.6462908047204,4.97925
2015-03-31,10.12477074,13.431,12.9182364615698,50.4391852280369,6.58263
2015-06-30,10.10788498,13.440,12.9227865611121,49.2195046171889,5.87432
2015-09-30,9.98247405,13.448,12.9347291466514,49.7249749516861,4.61741
2015-12-31,10.23733317,13.457,12.9500966682421,46.8812499322889,6.45586
2016-03-31,10.15333179,13.469,12.9557642124938,44.8730084456508,5.65046
2016-06-30,10.00999191,13.477,12.9765414876289,46.0000286833101,6.19355
2016-09-30,10.27690066,13.487,12.9719176153095,46.1433080193608,5.29634
2016-12-31,10.28261919,13.493,12.9769804320002,47.3441359592345,2.72277
2017-03-31,10.00694865,13.496,12.9797257495392,46.0338422482857,2.36318
2017-06-30,10.14711742,13.505,12.98364765986,48.6411095445955,1.45808
2017-09-30,10.30427511,13.512,13.001773758458,46.7504618702402,2.39521
2017-12-31,10.15452305,13.520,13.0135815955936,48.9823854186466,3.73494
2018-03-31,10.07992020,13.529,13.0350982692164,48.9335177916271,4.73876
2018-06-30,10.23532844,13.535,13.0404778513381,51.3328937577218,3.95210
2018-09-30,10.12595524,13.541,13.0568969321024,53.4874859930396,5.61404
2018-12-31,10.16429838,13.547,13.0650624131419,54.9967551609792,5.11034
2019-03-31,10.16613946,13.552,13.0573728683849,51.4053554314073,7.07657
2019-06-30,10.34270972,13.558,13.0732790868932,50.8561317735119,8.52535
2019-09-30,10.11946686,13.561,13.0579269553028,48.5746141351348,6.42303
2019-12-31,10.15807733,13.561,13.059937321243,48.8746359422802,8.61878
2020-03-31,10.25062008,13.562,13.0484817585745,46.669777514909,6.60888
2020-06-30,9.94678636,13.451,12.8266118007397,42.8993490491292,5.20170
2020-09-30,10.49974480,13.539,13.0558368141339,44.5407664454921,5.53067
2020-12-31,10.46152149,13.566,13.0807659985236,46.0401652402903,4.95239
2021-03-31,10.04175951,13.571,13.0945667198043,50.9508898947738,4.43595
2021-06-30,10.37444774,13.538,13.0340512383339,56.4868488137525,5.32581
2021-09-30,10.26287371,13.576,13.0995593054677,58.0313503000086,4.82436
2021-12-31,10.20965460,13.585,13.0959010201762,61.9691975010036,4.96929
2022-03-31,10.32279121,13.587,13.1114183832318,63.5977338069113,5.40919
2022-06-30,10.34957034,13.591,13.1180847567167,69.5065483030019,6.48455
2022-09-30,10.14347191,13.600,13.131439730643,70.2322076793975,6.04172
2022-12-31,10.12252450,13.605,13.1339802705699,68.3229935062451,5.66489
2023-03-31,10.09767234,13.613,13.1484206923905,65.8773133404234,6.03563
2023-06-30,10.16900558,13.622,13.1559001990686,60.9152302862644,5.02721
2023-09-30,10.10943506,13.629,13.1736640425999,63.6894811153196,6.38733
