,ffrate,inf,gap
1991-12-31,4.43,2.9806259314456005,-3.6591865021205403
1992-03-31,3.98,3.18991097922847,-3.1032390313668197
1992-06-30,3.76,3.01470588235294,-2.65805760096491
1992-09-30,3.22,2.992700729927,-2.314744246218
1992-12-31,2.92,2.9667149059334506,-1.9214586443247899
1993-03-31,3.07,3.01941049604602,-2.3866672905904203
1993-06-30,3.04,2.99785867237689,-2.45861078783254
1993-09-30,3.09,2.76399716513112,-2.6363656746403796
1993-12-31,2.96,2.8109627547434997,-1.96530274837652
1994-03-31,3.34,2.65177948360083,-1.67143706785824
1994-06-30,4.25,2.49480249480249,-1.0011535429433
1994-09-30,4.73,2.96551724137932,-1.0917631864911899
1994-12-31,5.45,2.59740259740259,-0.634907502663944
1995-03-31,5.98,2.78721957851801,-0.956307220153808
1995-06-30,6.0,3.0425963488843797,-1.33680636432952
1995-09-30,5.8,2.5452109845947595,-1.1760202405642501
1995-12-31,5.6,2.5316455696202596,-1.19415230027234
1996-03-31,5.31,2.84391534391535,-1.1508810742053999
1996-06-30,5.27,2.82152230971128,-0.24404148089042801
1996-09-30,5.3,3.00457217504898,-0.138915195431954
1996-12-31,5.29,3.37881741390513,0.0635949993509774
1997-03-31,5.39,2.7652733118971096,-0.16424887064469598
1997-06-30,5.56,2.23356732610083,0.580242788390436
1997-09-30,5.54,2.21940393151554,0.884204371118653
1997-12-31,5.5,1.69704588309241,0.7721923950170649
1998-03-31,5.49,1.3767209011263999,0.77912804442725
1998-06-30,5.56,1.62297128589265,0.691778234542933
1998-09-30,5.51,1.4267990074441799,0.9201189814074309
1998-12-31,4.68,1.6069221260815802,1.50389767532101
1999-03-31,4.81,1.7283950617284,1.40669967143076
1999-06-30,4.76,1.9656019656019599,1.13004879512025
1999-09-30,5.22,2.62996941896025,1.3888543149422101
1999-12-31,5.3,2.67639902676399,2.03320557972916
2000-03-31,5.85,3.76213592233009,1.33145222194351
2000-06-30,6.53,3.73493975903614,2.1398150002152403
2000-09-30,6.52,3.4564958283670895,1.28399871245062
2000-12-31,6.4,3.43601895734596,0.979028879258919
2001-03-31,5.31,2.98245614035087,-0.18389595077562898
2001-06-30,3.97,3.1939605110336804,-0.421129656932672
2001-09-30,3.07,2.59216589861751,-1.59704954123507
2001-12-31,1.82,1.6036655211913002,-2.04234721023999
2002-03-31,1.73,1.36286201022147,-1.86106776931199
2002-06-30,1.75,1.06921778277997,-1.91404590152125
2002-09-30,1.75,1.51600224592926,-2.10488944110558
2002-12-31,1.24,2.48027057497182,-2.5651417481437297
2003-03-31,1.25,3.0252100840336205,-2.62938440546031
2003-06-30,1.22,1.94877505567929,-2.40005391511619
2003-09-30,1.01,2.37831858407079,-1.35684687552113
2003-12-31,0.98,2.03520352035203,-0.8467875817703159
2004-03-31,1.0,1.74007612833061,-0.949496350912265
2004-06-30,1.03,3.1676679410158397,-0.8364115373621279
2004-09-30,1.61,2.53916801728796,-0.5537514927377939
2004-12-31,2.16,3.34231805929919,-0.220205835237452
2005-03-31,2.63,3.2068412613575603,0.23434161076605897
2005-06-30,3.04,2.54102699841185,0.0699309604774509
2005-09-30,3.62,4.741833508956799,0.34734829174376103
2005-12-31,4.16,3.33854981742306,0.38412342334435706
2006-03-31,4.59,3.4179181771103,1.1384729840980201
2006-06-30,4.99,4.18172431595252,0.8126488186646078
2006-09-30,5.25,2.01207243460765,0.436106155935471
2006-12-31,5.24,2.52397778899546,0.785726760217192
2007-03-31,5.26,2.7981972959439303,0.525388815349257
2007-06-30,5.25,2.6927651139742297,0.607348372938478
2007-09-30,4.94,2.8338264299802702,0.661100180718256
2007-12-31,4.24,4.10881339241753,0.7875737309132349
2008-03-31,2.61,3.97490355013444,-0.262241523697885
2008-06-30,2.0,4.935966105947861,-0.19875821907218502
2008-09-30,1.81,4.95331987513607,-1.15977203418283
2008-12-31,0.16,-0.0222280025538542,-3.6811096586228196
2009-03-31,0.18,-0.44647876766238304,-5.105959839779111
2009-06-30,0.21,-1.22917461821092,-5.5593822687325
2009-09-30,0.15,-1.37794286288647,-5.512739305536491
2009-12-31,0.12,2.81412312320836,-4.76487589423939
2010-03-31,0.16,2.28617143932799,-4.68931557436618
2010-06-30,0.18,1.12156059406863,-4.112023396511041
2010-09-30,0.19,1.11831224723318,-3.72133424703323
2010-12-31,0.18,1.43779302221793,-3.56657801627631
2011-03-31,0.14,2.61924151035412,-4.13760905187267
2011-06-30,0.09,3.5023181506360497,-3.80430131427207
2011-09-30,0.08,3.81262169281869,-4.19394736349933
2011-12-31,0.07,3.0620668384193905,-3.4575680745399304
2012-03-31,0.13,2.5828752813321,-3.08512141382203
2012-06-30,0.16,1.6538704482976399,-3.06191827769572
2012-09-30,0.14,1.94971689828196,-3.3313481416327595
2012-12-31,0.16,1.75950497968955,-3.6261463196812795
2013-03-31,0.14,1.5187472411246299,-3.18435190516344
2013-06-30,0.09,1.7157935271568798,-3.4815155700044604
2013-09-30,0.08,1.0947341081747999,-3.1453576711455296
2013-12-31,0.09,1.5128383667573402,-2.7986941261465494
