,gdp,idpr,emp,unmp,lcst,cnst,cbc,clc,cpi,sppi,cgpi,expr,impr,cpis,rsal,gfcf,con,gexp,hrl,inv,ccc,cop,exp,imp,gdi,m3m,srt,crt,lrt,bfx
1997-07-31,,5.29404883557028,0.676567656765677,0.0,,-24.916456540619,0.281999999999996,0.677499999999995,1.87500274978847,1.03092783505154,1.41987829614605,-1.06626047220107,3.52941176470588,1.99579593376687,-3.11017386059269,,,,4.88575,-0.495540138751217,0.190399999999997,3.0,,,,7.21401085306602,0.5,0.49273,2.505,-1.58129941560673
1997-08-31,,4.70125547744168,0.56198347107438,0.1,,-17.8285339159695,0.183800000000005,0.334100000000006,2.08550409036944,1.22410546139359,1.42276422764227,1.31071703932152,5.21945432977462,1.99161179261771,-2.52486998817817,,,,2.19360000000001,2.28401191658391,-0.167019999999994,1.0,,,,7.56429180266523,0.5,0.48476,2.354,-2.86672140120416
1997-09-30,0.18897409460247,2.90691785678111,0.544914134742404,0.2,1.73025050872529,-23.5325358380339,0.062700000000007,-0.050219999999996,2.38839757687177,1.22295390404515,1.42421159715158,2.60536398467433,5.28789659224442,2.62053413700041,-4.7090423261769,-3.00278095527313,0.000467866718812,1.62997719126752,0.0,-0.393313667649951,-0.621769999999998,-1.0,10.51001,0.17463,0.654953371912519,7.26762236997642,0.5,0.498,2.21,-2.85078570435266
1997-10-31,,1.63781490411562,0.777502067824648,0.1,,-25.0857553429212,-0.096720000000005,-0.461389999999994,2.4870467692475,1.22180451127819,1.11902339776196,1.13722517058378,2.62857142857143,2.93500575293712,-3.7859191414562,,,,-0.39883,3.57142857142857,-1.00131,-3.0,,,,7.14487182918519,0.5,0.48,1.994,-0.035448422545205
1997-11-30,,-0.095869118798287,0.28117763810784,0.2,,-22.8752081385973,-0.297349999999994,-0.86421,2.07900046570083,1.3157894736842,0.914634146341455,3.73475609756098,2.57847533632287,2.72250417468863,-7.10225293123114,,,,-0.19941,9.66429298067144,-1.18097,-3.0,,,,9.28233970753656,0.5,0.49111,1.941,-2.52983634674482
1997-12-31,0.039539057773097,-1.99422568884834,0.545996029119788,0.1,2.24968493568289,-19.034846754003,-0.55856,-1.2287,1.76532669605664,1.31826741996233,0.709939148073025,5.23123578468537,3.44062153163153,2.83316215497383,-5.64625536004732,-3.53650607560007,-1.2361146975485,0.692196635736811,5.28456,,-1.23479,-3.0,8.31029,-3.33596,-0.141840546110252,10.5841293762103,0.5,0.39429,1.939,-0.728032869602819
1998-01-31,,-2.04158629742477,0.115150518177332,0.3,,-16.9484636406754,-0.903700000000001,-1.55361000000001,1.76715141689557,1.0377358490566,0.711382113821127,3.05970149253731,-1.07642626480086,2.72536845272465,-5.30488345338729,,,,-0.39884999999999,17.0555538612158,-1.25594,-3.0,,,,9.45195393467944,0.5,0.43526,1.948,6.2597692593971
1998-02-28,,-4.59107852985862,-0.475721784776903,0.2,,-13.2629604012376,-1.28711,-1.8462,1.87500274978847,1.0377358490566,0.304568527918779,-1.88953488372093,-8.61889927310488,2.61780050090003,-9.38471823886176,,,,0.09971,17.0490623154168,-1.3028,-3.33333,,,,10.0484900281471,0.5,0.43368,2.0,10.9839993816186
1998-03-31,-1.2328544068413,-6.99824926593236,-0.541694024950755,0.5,1.82279498345889,-14.2956074952526,-1.65479000000001,-2.10894999999999,2.18522516113601,1.12888052681092,-0.101522842639588,-0.801749271137022,-8.09674027339641,2.51307596149291,-16.2538978645308,-5.79225473310785,-2.91983713637545,0.535424171787801,0.09971,22.7305389106969,-1.37788999999999,-3.66667,2.39274,-5.03924,-1.29127522876215,8.76473195738988,0.5,0.43091,1.855,6.27393902252183
1998-04-30,,-4.7980881181445,-0.91908747743312,0.8,,-15.4783732016447,-1.96666999999999,-2.3357,0.408195011493335,-0.83179297597043,-2.29083665338647,-0.935925125989929,-7.86163522012579,1.34158490615703,-2.08031754131178,,,,-0.39883,16.0034189861541,-1.46939,-4.0,,,,9.08921283724771,0.5,0.44333,1.867,3.21115046973663
1998-05-31,,-8.21959198696907,-0.722733245729304,0.7,,-15.3055531793821,-2.23475000000001,-2.52391,0.509179586204691,-0.83487940630797,-2.29312063808574,3.80029806259316,-3.58695652173913,1.13401216841362,-3.6043631973121,,,,-0.19941999999999,15.5865030362008,-1.56444999999999,-4.33333,,,,9.29112072883935,0.5,0.42789,1.655,-3.91244273143771
1998-06-30,-0.419136506872048,-7.70546005982946,-1.03211009174312,0.7,0.367622782784694,-12.5652399453731,-2.46911,-2.67713999999999,0.101875927423542,-0.833333333333339,-2.09790209790209,10.3474903474904,2.13723284589425,1.0298659905965,-4.49286655235662,-5.23395626133268,-0.521417145819937,1.06837798467451,-0.09971999999999,9.53046629881452,-1.64606999999999,-4.66667,-3.72167,-7.66307,-1.11550053603576,9.26092063882976,0.5,0.43682,1.54,-9.80309719010582
1998-07-31,,-8.15844587739377,-1.03261760367153,0.7,,-10.5460201845795,-2.66785,-2.79294,-0.102242382339906,-0.83487940630797,-2.2,9.46882217090068,2.84090909090909,0.92688760025668,-4.30580786698484,,,,-2.29332,10.839497885599,-1.68649000000001,-5.0,,,,8.3290165026271,0.5,0.41318,1.683,-11.044359063919
1998-08-31,,-9.39584469110999,-0.805391190006575,1.0,,-12.8642448665709,-2.84068000000001,-2.85886000000001,-0.306433897837774,-1.02325581395348,-2.00400801603206,9.74124809741247,3.04396843291996,0.924972106762702,-4.7586443593061,,,,-2.49273,9.1899684021587,-1.65394999999999,-4.66667,,,,8.97708713845321,0.5,0.42714,1.502,-12.8266535183489
1998-09-30,0.172630207028126,-7.61418251374239,-1.13319100016423,0.8,-1.15903501850135,-13.7514212740216,-2.98423,-2.86099,-0.202825611814088,-1.02230483271375,-1.90571715145437,2.7632561613144,-2.1205357142857,0.20429414611887,-4.50243168640739,-4.3327326063221,-0.034660963917895,1.71669086226972,-0.19942,8.78441454243126,-1.56065,-4.33333,-2.04926,-7.28278,-1.23358860984767,9.06882731245,0.5,0.3215,1.103,-5.41082164328657
1998-10-31,,-7.49804180352232,-1.23112278397899,0.8,,-12.421931880038,-3.08319,-2.77364,0.202210410062048,-1.11420612813371,-2.11267605633804,-2.92353823088456,-7.90645879732739,0.0,-7.16868049131808,,,,0.29912,8.86139391699789,-1.40691,-4.0,,,,9.71575045683992,0.5,0.23545,0.879,2.95744680851063
1998-11-30,,-6.84689186298948,-0.874154708889988,1.0,,-16.7483023067431,-3.14087000000001,-2.58224,0.814657330290567,-1.29870129870129,-2.21550855991944,-6.09845701689934,-11.0382513661202,0.0,-3.68991103487346,,,,1.49563,1.31070094364339,-1.18607,-3.0,,,,6.90015271289975,0.5,0.20158,0.977,6.34210719260943
